role	word	 frq
TRG	tore	4
TRG	bouwe	3
OTH	bouwe	28
TRG	onne	3
TRG	jug	1
TRG	wiele	1
OTH	aj	25
TRG	juiken	1
TRG	juik	2
OTH	d'raan	7
OTH	koffielikeurfles	1
TRG	fiesje	3
TRG	fietsje	30
OTH	fietsje	21
TRG	hoeoe	3
OTH	kiker	1
TRG	dekse	1
OTH	dksel	1
TRG	niete	8
TRG	bokkedoos	1
OTH	duke	1
OTH	disse	10
TRG	oene	3
OTH	zatten	1
OTH	oot	5
OTH	Emmadien	13
OTH	boeke	17
TRG	plasse	4
TRG	nogg	1
TRG	moettie	2
TRG	pegen	1
TRG	plassijde	1
TRG	ewegen	1
OTH	sapen	11
OTH	ape	4
OTH	sape	21
OTH	tat	2
OTH	poesse	4
OTH	slape	21
TRG	teb	1
OTH	teke	22
TRG	annersom	2
TRG	annerkant	1
OTH	moette	13
OTH	leit	1
OTH	ofzo	61
OTH	tet	2
TRG	reisse	1
TRG	uhuh	14
OTH	Diene	1
OTH	neehee	34
OTH	poepe	7
OTH	datata	1
TRG	blommer	1
TRG	knoopie	1
TRG	blon	2
OTH	dadada	1
TRG	puzzle	1
TRG	zellig	1
OTH	Jippie	8
TRG	babietje	38
TRG	e'om	1
TRG	cassettebandje	2
OTH	cassettebandje	5
OTH	staartje	85
OTH	Tuti	2
TRG	Jippie	8
OTH	em	489
OTH	effetjes	5
OTH	d'roverheen	2
OTH	Pluis	27
TRG	chuit	2
TRG	chuiuit	1
TRG	happie	2
OTH	jaj	2
OTH	dee	45
TRG	oo	189
OTH	mellek	1
TRG	mellek	1
OTH	Mariekeje	1
TRG	anwe	1
TRG	glote	3
OTH	schroefje	16
TRG	Wit	1
TRG	Witje	6
OTH	Witje	10
TRG	wwit	1
TRG	nijn	3
OTH	Schoorl	2
TRG	Soorl	2
OTH	Lego	28
OTH	veelste	1
TRG	hihihihi	7
TRG	Lego	18
OTH	zestten	1
TRG	voorstee	1
TRG	llluikjes	1
OTH	d'rin	24
OTH	bijmekaar	1
OTH	hi	81
OTH	kein	3
OTH	wawa	5
OTH	ooid	1
TRG	lullie	5
TRG	Emmadien	10
OTH	balle	4
OTH	pele	17
TRG	poesie	12
OTH	lope	21
OTH	gevalle	2
TRG	woewoe	3
OTH	eheh	9
OTH	ggg	21
TRG	wijter	2
TRG	Melk	5
TRG	dee	76
TRG	plukkertje	1
TRG	choentje	8
TRG	klaklaklakla	1
TRG	broterham	13
TRG	nananana	3
OTH	krentebrood	5
TRG	chocoma	1
OTH	Hijke	9
OTH	viesje	1
OTH	Hijkij	1
OTH	telle	9
OTH	hebbe	53
OTH	neenee	20
TRG	metijtje	1
TRG	Brammetje	1
OTH	Brammetje	1
TRG	Speelhol	1
OTH	circusfeest	2
TRG	Pietepaf	4
OTH	oja	264
OTH	Pietepaf	22
OTH	circushondje	1
OTH	circusbaas	10
TRG	tentje	10
OTH	tentje	11
TRG	oja	70
TRG	rote	3
OTH	allerkleinste	3
OTH	zw	1
OTH	dahag	2
OTH	verschrikkelijks	1
OTH	geeneen	2
OTH	bijzonders	12
OTH	reuzehond	2
TRG	be	16
TRG	peker	1
TRG	effetjes	5
TRG	det	1
TRG	iau	13
OTH	bendeden	1
OTH	iau	1
TRG	ovenblik	1
OTH	cocoskoek	1
TRG	no	74
OTH	dezes	2
OTH	onhoog	1
OTH	gadaan	1
OTH	the	1177
OTH	Hannibal	1
TRG	drieenhalf	2
OTH	drieenhalf	4
TRG	opgehijst	1
TRG	meot	1
OTH	roosvicee	117
OTH	no	336
OTH	doeje	1
TRG	begedrijft	1
TRG	vleuge	1
OTH	ojeetje	3
TRG	bubububu	2
TRG	bububu	3
TRG	bubububub	1
TRG	hoestdrankje	2
OTH	inge	1
OTH	broken	5
TRG	bububub	6
TRG	stroomp	1
TRG	jous	1
TRG	Sinterklaasje	16
TRG	Zwarte	19
OTH	Zwarte	95
TRG	jaha	59
